audio_1;audio_2;label
bed/00176480_nohash_0.wav;bed/063d48cf_nohash_1.wav;1
bed/00176480_nohash_0.wav;cat/1c45ceb2_nohash_0.wav;0
bed/004ae714_nohash_0.wav;bed/1993db46_nohash_0.wav;1
bed/004ae714_nohash_0.wav;nine/0ac15fe9_nohash_0.wav;0
bed/00f0204f_nohash_0.wav;bed/0c2d2ffa_nohash_0.wav;1
bed/00f0204f_nohash_0.wav;off/1afd49bf_nohash_0.wav;0
bed/00f0204f_nohash_1.wav;bed/0c2d2ffa_nohash_0.wav;1
bed/00f0204f_nohash_1.wav;tree/1bb6ed89_nohash_0.wav;0
bed/012c8314_nohash_0.wav;bed/1890e5c3_nohash_0.wav;1
bed/012c8314_nohash_0.wav;marvin/0137b3f4_nohash_0.wav;0
bed/012c8314_nohash_1.wav;bed/1706c35f_nohash_1.wav;1
bed/012c8314_nohash_1.wav;dog/10c6d873_nohash_0.wav;0
bed/0132a06d_nohash_0.wav;bed/0135f3f2_nohash_0.wav;1
bed/0132a06d_nohash_0.wav;two/1338a799_nohash_0.wav;0
bed/0135f3f2_nohash_0.wav;bed/18c54a68_nohash_4.wav;1
bed/0135f3f2_nohash_0.wav;yes/0137b3f4_nohash_0.wav;0
bed/0137b3f4_nohash_0.wav;bed/004ae714_nohash_0.wav;1
bed/0137b3f4_nohash_0.wav;go/126403d4_nohash_0.wav;0
bed/01648c51_nohash_0.wav;bed/1995cf9e_nohash_0.wav;1
bed/01648c51_nohash_0.wav;zero/01bcfc0c_nohash_2.wav;0
bed/01648c51_nohash_1.wav;bed/063d48cf_nohash_0.wav;1
bed/01648c51_nohash_1.wav;down/10ace7eb_nohash_3.wav;0
bed/016e2c6d_nohash_0.wav;bed/15c563d7_nohash_0.wav;1
bed/016e2c6d_nohash_0.wav;seven/15c563d7_nohash_4.wav;0
bed/01b4757a_nohash_0.wav;bed/172dc2b0_nohash_0.wav;1
bed/01b4757a_nohash_0.wav;stop/0137b3f4_nohash_0.wav;0
bed/01bcfc0c_nohash_0.wav;bed/18c54a68_nohash_1.wav;1
bed/01bcfc0c_nohash_0.wav;four/0d393936_nohash_0.wav;0
bed/02746d24_nohash_0.wav;bed/187af8be_nohash_0.wav;1
bed/02746d24_nohash_0.wav;happy/1995cf9e_nohash_0.wav;0
bed/035de8fe_nohash_0.wav;bed/19785c4e_nohash_2.wav;1
bed/035de8fe_nohash_0.wav;two/126a31d2_nohash_0.wav;0
bed/037c445a_nohash_0.wav;bed/13199b79_nohash_0.wav;1
bed/037c445a_nohash_0.wav;cat/1df483c0_nohash_1.wav;0
bed/0397ecda_nohash_0.wav;bed/05d18852_nohash_0.wav;1
bed/0397ecda_nohash_0.wav;on/15c563d7_nohash_2.wav;0
bed/03c96658_nohash_0.wav;bed/1706c35f_nohash_0.wav;1
bed/03c96658_nohash_0.wav;four/069ab0d5_nohash_0.wav;0
bed/042186b8_nohash_0.wav;bed/19785c4e_nohash_2.wav;1
bed/042186b8_nohash_0.wav;one/10c6d873_nohash_1.wav;0
bed/0474c92a_nohash_1.wav;bed/15d83b54_nohash_1.wav;1
bed/0474c92a_nohash_1.wav;go/0397ecda_nohash_1.wav;0
bed/05d18852_nohash_0.wav;bed/19f9c115_nohash_3.wav;1
bed/05d18852_nohash_0.wav;house/00b01445_nohash_2.wav;0
bed/06076b6b_nohash_0.wav;bed/15d83b54_nohash_1.wav;1
bed/06076b6b_nohash_0.wav;no/15c563d7_nohash_3.wav;0
bed/063d48cf_nohash_0.wav;bed/10627519_nohash_0.wav;1
