audio_1;audio_2;label
bed/00176480_nohash_0.wav;bed/118261a9_nohash_2.wav;1
bed/00176480_nohash_0.wav;nine/6272b231_nohash_0.wav;0
bed/004ae714_nohash_0.wav;bed/83c9e7e6_nohash_0.wav;1
bed/004ae714_nohash_0.wav;zero/3e3b65eb_nohash_1.wav;0
bed/00f0204f_nohash_0.wav;bed/4def68db_nohash_1.wav;1
bed/00f0204f_nohash_0.wav;marvin/5ba724a7_nohash_1.wav;0
bed/00f0204f_nohash_1.wav;bed/772db621_nohash_0.wav;1
bed/00f0204f_nohash_1.wav;seven/3bfd30e6_nohash_4.wav;0
bed/012c8314_nohash_0.wav;bed/7f17667c_nohash_0.wav;1
bed/012c8314_nohash_0.wav;one/0bde966a_nohash_0.wav;0
bed/012c8314_nohash_1.wav;bed/01bcfc0c_nohash_0.wav;1
bed/012c8314_nohash_1.wav;dog/76b58705_nohash_0.wav;0
bed/0132a06d_nohash_0.wav;bed/726382d6_nohash_0.wav;1
bed/0132a06d_nohash_0.wav;bird/529eda42_nohash_0.wav;0
bed/0135f3f2_nohash_0.wav;bed/5d9bb361_nohash_1.wav;1
bed/0135f3f2_nohash_0.wav;house/78102205_nohash_0.wav;0
bed/0137b3f4_nohash_0.wav;bed/6d1dcca6_nohash_1.wav;1
bed/0137b3f4_nohash_0.wav;eight/3cfc6b3a_nohash_1.wav;0
bed/01648c51_nohash_0.wav;bed/5a0bc987_nohash_0.wav;1
bed/01648c51_nohash_0.wav;marvin/652b3da7_nohash_1.wav;0
bed/01648c51_nohash_1.wav;bed/27b03931_nohash_0.wav;1
bed/01648c51_nohash_1.wav;two/38d78313_nohash_3.wav;0
bed/016e2c6d_nohash_0.wav;bed/21e8c417_nohash_0.wav;1
bed/016e2c6d_nohash_0.wav;zero/3d53244b_nohash_4.wav;0
bed/01b4757a_nohash_0.wav;bed/28460a60_nohash_0.wav;1
bed/01b4757a_nohash_0.wav;two/4def68db_nohash_0.wav;0
bed/01bcfc0c_nohash_0.wav;bed/73124b26_nohash_1.wav;1
bed/01bcfc0c_nohash_0.wav;zero/530306f5_nohash_0.wav;0
bed/02746d24_nohash_0.wav;bed/3e3fa7fd_nohash_0.wav;1
bed/02746d24_nohash_0.wav;house/3ed3e49a_nohash_2.wav;0
bed/035de8fe_nohash_0.wav;bed/86648261_nohash_1.wav;1
bed/035de8fe_nohash_0.wav;tree/1df483c0_nohash_1.wav;0
bed/037c445a_nohash_0.wav;bed/5d9bb361_nohash_1.wav;1
bed/037c445a_nohash_0.wav;three/6c6aa323_nohash_0.wav;0
bed/0397ecda_nohash_0.wav;bed/650daf8e_nohash_1.wav;1
